First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Ftbs,Borrower Retention,Loans Per Borrower,Loan Size,Interest Rate,Total Revenue Of Originations,Loans Per Original,Originations Per Original,Revenue Per Original
2020-09,0,7801,7801,13156,48361000,6540240,681325,81520,0.1553817082,0.1211915908,0.1130308786,10314,0.7563505914,1.686450455,3675.965339,0.1352378983,0.1476405575,1.275547799,4688.869498,692.2673066
2020-09,17,0,366,373,7424000,1062480,0,274,,,,10314,0.03548574753,1.019125683,19903.48525,0.1431142241,0.1430773168,0.03616443669,719.7983324,102.986814
2020-09,2,0,3661,4310,31461000,4297310,401077,30617,0.1397193564,0.1039580953,0.09479154058,10314,0.3549544309,1.177273969,7299.535963,0.1365916532,0.1483668669,0.4178786116,3050.319953,452.5664146
2020-09,10,0,1362,1562,28365000,3750870,279970,0,0.1096609851,0.08048434614,0.07402808509,10314,0.1320535195,1.146842878,18159.41101,0.132235854,0.1421061167,0.1514446384,2750.145433,390.8124879
2020-09,14,0,1054,1181,24426000,3562270,239453,0,0.1089465819,0.06088642972,0.04523471062,10314,0.1021911964,1.120493359,20682.47248,0.1458392696,0.1556424711,0.1145045569,2368.237347,368.598313
2020-09,12,0,1177,1304,25537000,3412970,234811,0,0.1013870826,0.07630805933,0.0694681329,10314,0.1141167345,1.107901444,19583.58896,0.1336480401,0.1428429729,0.126430095,2475.955013,353.6727749
2020-09,8,0,1594,1870,30127000,4021020,236519,0,0.08638179449,0.05962365818,0.05701443314,10314,0.1545472174,1.17314931,16110.69519,0.1334689813,0.1413197132,0.1813069614,2920.981191,412.7922242
2020-09,18,0,1,1,25000,5000,0,0,,,,10314,0.00009695559434,1,25000,0.2,0.2,0.00009695559434,2.423889858,0.4847779717
2020-09,6,0,1952,2284,29927000,4040010,301485,0,0.1115581667,0.0894126136,0.08350593957,10314,0.1892573201,1.170081967,13102.88967,0.134995489,0.1450695025,0.2214465775,2901.590072,420.932228
2020-09,3,0,3050,3599,30482000,4178400,343062,17629,0.1251114644,0.08908918781,0.08439905173,10314,0.2957145627,1.18,8469.574882,0.1370776196,0.1477538547,0.348943184,2955.400427,436.6718053
2020-09,4,0,2549,2985,29303000,3964590,300262,920,0.1137204978,0.08674957814,0.08165786122,10314,0.24713981,1.17104747,9816.750419,0.135296386,0.1455117906,0.2894124491,2841.089781,413.4120613
