,2020-09
1,0.10379641242987933
2,0.10843819023802209
3,0.11144697060840156
4,0.11282275354101774
5,0.11256553903587063
6,0.10640669188796546
7,0.10246150189131938
8,0.10005317207464746
9,0.09856812122403356
10,0.09312211242304778
11,0.08719035966506955
12,0.08326578478195536
13,0.08115675293544954
14,0.07670610378151103
15,0.07194534067966932
16,0.06687446362992441
17,0.061493472632276315
18,0.05843251665908903
19,0.056284348869178095
20,0.054830702871607954
21,0.05357322154046827
22,0.05239908709369734
23,0.051253698905469346
24,0.04903944152294643
25,0.046927209465669806
26,0.044917002733639466
27,0.0430088213268554
28,0.04120266524531763
29,0.03949853448902614
30,0.03789642905798093
31,0.03639634895218201
32,0.0356
33,0.0356
34,0.0356
35,0.0356
36,0.0356
37,0.0356
38,0.0356
39,0.0356
40,0.0356
41,0.0356
42,0.0356
43,0.0356
44,0.0356
45,0.0356
46,0.0356
47,0.0356
48,0.0356
49,0.0356
50,0.0356
