First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Default Rate Amount 365D
2014-04,0,49,49,83,194000,9700,3836,0,0.287923417,0.26730486,0.260432008,0.251595484
2014-04,77,0,1,1,6000,1140,0,0,,,,
2014-04,92,0,1,1,19000,4180,0,0,,,,
2014-04,41,0,4,6,49000,6550,0,0,,,,
2014-04,36,0,3,3,30000,4500,920,0,0.333333333,,,
2014-04,80,0,1,1,10000,1900,0,0,,,,
2014-04,51,0,1,1,9000,1350,0,0,,,,
2014-04,17,0,6,7,31000,2270,0,0,0.126239856,0.126239856,0.084159904,0.042079952
2014-04,46,0,2,2,18000,2700,0,0,,,,
2014-04,44,0,2,3,18000,2700,0,0,0.00057971,0.00057971,0.00057971,0.00057971
2014-04,32,0,6,6,43000,6050,184,0,0.273190622,0.050452939,0.050452939,0.050452939
2014-04,11,0,9,15,60000,3000,0,0,,,,
2014-04,40,0,4,5,39000,5730,736,0,0.205678516,0.174548014,0.145955219,0.065983372
2014-04,1,0,19,26,96000,4800,980,0,0.211805556,0.211805556,0.160218254,0.142361111
2014-04,6,0,8,10,38000,1900,0,0,,,,
2014-04,31,0,3,3,27000,4050,0,0,,,,
2014-04,83,0,1,1,16000,3040,0,0,,,,
2014-04,55,0,1,1,15000,2250,0,0,,,,
2014-04,37,0,2,2,20000,3000,0,0,,,,
2014-04,48,0,1,1,8000,1200,0,0,,,,
2014-04,52,0,1,1,10000,1500,0,0,,,,
2014-04,21,0,6,11,50500,5315,1760,0,0.398907104,0.302735562,0.294051238,0.243682154
2014-04,30,0,5,5,37000,5150,1072,0,0.317912218,,,
2014-04,56,0,1,1,17000,2550,0,0,,,,
2014-04,26,0,7,7,41500,5665,1110,0,0.292589844,0.308855515,0.308855515,0.205903677
2014-04,39,0,4,4,37000,5550,920,0,0.27027027,,,
2014-04,57,0,1,1,14000,2100,0,0,,,,
2014-04,88,0,2,2,23000,3030,2083,0,1,0.98932878,0.98932878,
2014-04,25,0,7,9,43000,5910,1040,0,0.264260887,,,
2014-04,76,0,1,1,5000,950,0,0,,,,
2014-04,79,0,1,1,8000,1520,0,0,,,,
2014-04,29,0,6,8,52000,6840,0,0,,,,
2014-04,14,0,5,8,32000,1600,0,0,0.001488095,0.001488095,0.001488095,0.001488095
2014-04,23,0,8,11,52500,6455,330,0,0.071240777,0.076410559,0.076410559,0.076410559
2014-04,19,0,6,10,47000,5070,1060,0,0.254849241,,,
2014-04,82,0,1,1,14000,2660,0,0,,,,
2014-04,85,0,1,1,10000,1300,0,0,,,,
2014-04,24,0,6,8,37000,5370,920,0,0.18338447,,,
2014-04,94,0,1,1,21000,3990,0,0,,,,
2014-04,12,0,9,12,45000,2250,0,0,0.266666667,0.021164021,,
2014-04,54,0,1,1,13000,1950,0,0,,,,
2014-04,28,0,7,12,85000,10950,368,0,0.046488125,0.050021144,0.050021144,0.039952476
