,first_loan_local_disbursement_month,months_since_first_loan_disbursed,count_borrowers,count_loans,total_amount,total_interest_assessed,total_rollover_charged,total_rollover_reversed,default_rate_amount_7d,default_rate_amount_30d,default_rate_amount_51d,default_rate_amount_365d
0,2017-01,0,33122,61948,122088000.0,17338880.0,1456741.0,358.0,0.13257372396512776,0.10649797481906025,0.09192679116199076,0.06993626582284859
1,2017-01,1,19642,25708,90194000.0,12786180.0,1177575.0,110.0,0.14540313070728147,0.11635582373684422,0.101232281415366,0.08084981491309992
2,2017-01,2,17629,21887,95745000.0,13641470.0,1507396.0,0.0,0.17447099548988984,0.1351503157081745,0.11484687529966717,0.09026241568529877
3,2017-01,3,14965,17580,91230000.0,13081380.0,1403488.0,828.0,0.17087067585530935,0.12464918368909092,0.10510233091820981,0.0799647613483609
4,2017-01,4,13579,15937,95400000.0,13707520.0,1346795.0,0.0,0.1572457719081368,0.11387518812505876,0.09542192772150027,0.07051587425353728
5,2017-01,5,11944,13629,92865000.0,13379950.0,1395395.0,0.0,0.16632315230041522,0.1123642905455199,0.08760858207951674,0.060546351386759005
6,2017-01,6,10795,12353,95591000.0,13838250.0,1336245.0,0.0,0.1542717194795292,0.09638750910505382,0.07590457786336291,0.05054958076543807
7,2017-01,7,10167,11589,98350000.0,14264500.0,1301197.0,1288.0,0.14619155824551308,0.09626710261453285,0.07455015049167514,0.050919525628687554
8,2017-01,8,9447,10638,95822000.0,13904260.0,1422225.0,0.0,0.16433632204360196,0.10615071361521482,0.08065915608296416,0.057085006601754404
9,2017-01,9,8799,9966,93801000.0,13613390.0,1297910.0,0.0,0.15312068914304902,0.09207841247034604,0.07054268008311847,0.05069299799658923
10,2017-01,10,8141,9104,89117000.0,12949510.0,1308662.0,0.0,0.16297311746683268,0.0955488758477819,0.07300443649653242,0.050304183298063375
11,2017-01,11,7764,8857,88722000.0,12908700.0,1372819.0,0.0,0.17163488618659226,0.09285178462176451,0.06665741158114159,0.04571955871240697
12,2017-01,12,7336,8269,87507000.0,12670260.0,1149941.0,0.0,0.14524228352821789,0.08038127886311594,0.057248230906921035,0.036969288098595794
