,first_loan_local_disbursement_month,months_since_first_loan_disbursed,count_borrowers,count_loans,total_amount,total_interest_assessed,total_rollover_charged,total_rollover_reversed,default_rate_amount_7d,default_rate_amount_30d,default_rate_amount_51d,default_rate_amount_365d
0,2017-01,0,362,698,515500.0,69865.0,8939.0,0.0,0.19522007636261135,0.18143408087443463,0.17031350958432048,0.16362669610165842
1,2017-01,1,150,185,290000.0,40360.0,5591.0,0.0,0.21090958474167068,0.1776519434576541,0.1702562093598179,0.1702562093598179
2,2017-01,2,120,152,298000.0,41760.0,3941.0,0.0,0.144991552860843,0.1150457228812253,0.10113246688255204,0.10341112695653185
3,2017-01,3,104,117,271000.0,38270.0,5506.0,0.0,0.2132699582888738,0.20927475411085983,0.18319906854398052,0.17149233105446418
4,2017-01,4,80,90,253500.0,36385.0,4868.0,0.0,0.20991082670714248,0.16644105403507342,0.13349821715130974,0.13180188157542078
5,2017-01,5,72,76,236500.0,34075.0,4782.0,0.0,0.22091841448766517,0.16473886627178536,0.15565974353294088,0.15565974353294088
6,2017-01,7,64,69,255500.0,37475.0,3846.0,0.0,0.16267659250486421,0.06015612734700422,0.04978438125269315,0.04978438125269315
7,2017-01,6,63,72,250500.0,35935.0,2695.0,0.0,0.11760085185120533,0.10524331615536264,0.0794694428111922,0.07748071801611732
8,2017-01,8,52,57,236000.0,34040.0,4316.0,0.0,0.19978521700488816,0.11355683856011897,0.07734111883829768,0.056969776494773215
9,2017-01,10,47,51,210000.0,30300.0,4366.0,0.0,0.22713275072825634,0.13706031896544676,0.11421693247120564,0.09137354597696451
10,2017-01,9,47,48,198500.0,28855.0,4666.0,0.0,0.2565371335576521,0.06598109653867539,0.06598109653867539,0.06598109653867539
11,2017-01,11,46,48,202500.0,29255.0,4757.0,0.0,0.25656404392569737,0.09559768637532133,0.06513834393180895,0.05879617101880666
12,2017-01,12,46,49,209000.0,30430.0,4853.0,0.0,0.253351710311991,0.09798880806277964,0.0700048713991559,0.061408284653455214
13,2017-01,14,41,44,205500.0,30325.0,3988.0,0.0,0.21136435916463478,0.046611317985263516,0.023305658992631758,0.023305658992631758
14,2017-01,17,39,41,244500.0,36535.0,4830.0,0.0,0.1943708079064885,0.06677977366938939,0.05809035733650499,0.05459220261312158
15,2017-01,15,38,42,212500.0,31075.0,5900.0,0.0,0.303200246330699,0.07220763603567491,0.025293115542639542,0.025092694658783447
16,2017-01,19,35,37,241000.0,35430.0,5934.0,0.0,0.2683319466049271,0.1253594650876174,0.11827640917397401,0.09896799875338216
17,2017-01,13,34,37,165500.0,24145.0,4032.0,0.0,0.2657597089298426,0.1250484053346551,0.06092101798354993,0.06092101798354993
18,2017-01,16,34,35,190000.0,27820.0,1840.0,0.0,0.1208796253787531,0.06322043157607211,0.04625785304561595,0.015159792406446326
19,2017-01,18,33,35,233500.0,33565.0,3542.0,0.0,0.1787018141650909,0.011474204288876489,0.011474204288876489,0.011474204288876489
20,2017-01,21,28,30,208000.0,29900.0,2863.0,0.0,0.15042034468263976,0.10182627729343795,0.0843983502448466,0.05158599950989147
