loan_size,borrower_retention,loans_per_borrower,interest_rate,default_rate_7dpd,default_rate_51dpd,default_rate_365dpd,cumulative_ltv_per_original
34,1,1.65,0.14,0.18,0.148,0.13,-2.6
56,0.51,1.27,0.14,0.16,0.142,0.125,-3.5
67,0.4,1.2,0.14,0.155,0.131,0.115,-3.7
78,0.33,1.17,0.14,0.145,0.116,0.102,-3.5
91,0.28,1.16,0.14,0.125,0.102,0.09,-2.8
105,0.24,1.15,0.14,0.121,0.093,0.082,-1.9
121,0.21,1.15,0.14,0.114,0.088,0.077,-0.7
136,0.19,1.15,0.14,0.109,0.084,0.074,0.5
149,0.17,1.15,0.14,0.101,0.078,0.069,2
161,0.16,1.15,0.14,0.1,0.075,0.066,3.5
168,0.15,1.15,0.14,0.099,0.072,0.063,5.1
180,0.14,1.15,0.14,0.098,0.068,0.06,6.8
185,0.13,1.15,0.14,0.097,0.067,0.059,8.4
190,0.12,1.15,0.13,0.096,0.065,0.057,9.9
195,0.12,1.15,0.13,0.095,0.064,0.056,11.5
199,0.11,1.15,0.13,0.094,0.057,0.05,13.1
200,0.1,1.14,0.13,0.093,0.057,0.05,14.7
200,0.1,1.14,0.13,0.092,0.052,0.046,16.3
200,0.1,1.14,0.13,0.091,0.051,0.045,17.8
200,0.09,1.14,0.13,0.09,0.051,0.045,19.3
200,0.09,1.14,0.13,0.089,0.051,0.045,20.7
200,0.08,1.14,0.13,0.088,0.051,0.045,22.1
200,0.08,1.14,0.13,0.087,0.051,0.045,23.3
200,0.08,1.14,0.13,0.086,0.051,0.045,24.6
200,0.08,1.14,0.13,0.085,0.051,0.045,25.8
200,0.07,1.14,0.13,0.085,0.051,0.045,27
200,0.07,1.14,0.13,0.085,0.051,0.045,28.2
200,0.07,1.14,0.13,0.085,0.051,0.045,29.3
200,0.07,1.14,0.13,0.085,0.051,0.045,30.4
200,0.07,1.14,0.13,0.085,0.051,0.045,31.5
200,0.06,1.14,0.13,0.085,0.051,0.045,32.5
200,0.06,1.14,0.13,0.085,0.051,0.045,33.6
200,0.06,1.14,0.13,0.085,0.051,0.045,34.5
200,0.06,1.14,0.13,0.085,0.051,0.045,35.5
200,0.06,1.13,0.13,0.085,0.051,0.045,36.5
200,0.06,1.13,0.13,0.085,0.051,0.045,37.4
200,0.06,1.13,0.13,0.085,0.051,0.045,38.3
200,0.05,1.13,0.13,0.085,0.051,0.045,39.1
200,0.05,1.13,0.13,0.085,0.051,0.045,40
200,0.05,1.13,0.13,0.085,0.051,0.045,40.8
200,0.05,1.13,0.13,0.085,0.051,0.045,41.6
200,0.05,1.13,0.13,0.085,0.051,0.045,42.4
200,0.05,1.13,0.13,0.085,0.051,0.045,43.2
200,0.05,1.13,0.13,0.085,0.051,0.045,44
200,0.05,1.12,0.13,0.085,0.051,0.045,44.7
200,0.05,1.12,0.13,0.085,0.051,0.045,45.4
200,0.04,1.12,0.13,0.085,0.051,0.045,46.1
200,0.04,1.12,0.13,0.085,0.051,0.045,46.8
200,0.04,1.12,0.13,0.085,0.051,0.045,47.5
200,0.04,1.12,0.13,0.085,0.051,0.045,48.1
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
200,,1.12,0.13,0.085,0.051,0.045,
