loan_size,borrower_retention,loans_per_borrower,interest_rate,default_rate_7dpd,default_rate_51dpd,default_rate_365dpd,cumulative_ltv_per_original
34,1,1.65,0.14,0.157814575,0.099356465,0.087433689,-2.6
56,0.51,1.27,0.14,0.157814575,0.099356465,0.087433689,-3.5
67,0.4,1.2,0.14,0.157814575,0.099356465,0.087433689,-3.7
78,0.33,1.17,0.14,0.161430908,0.096686096,0.085083764,-3.5
91,0.28,1.16,0.14,0.161562312,0.092239074,0.081170385,-2.8
105,0.24,1.15,0.14,0.1598732,0.086541121,0.076156186,-1.9
121,0.21,1.15,0.14,0.156914869,0.080781179,0.071087438,-0.7
136,0.19,1.15,0.14,0.157869426,0.07704493,0.067799539,0.5
149,0.17,1.15,0.14,0.158754715,0.073553069,0.0647267,2
161,0.16,1.15,0.14,0.157249809,0.070443678,0.061990436,3.5
168,0.15,1.15,0.14,0.157062977,0.0674926,0.059393488,5.1
180,0.14,1.15,0.14,0.156827397,0.064931775,0.057139962,6.8
185,0.13,1.15,0.14,0.157413179,0.062504258,0.055003747,8.4
190,0.12,1.15,0.13,0.158086689,0.060678283,0.053396889,9.9
195,0.12,1.15,0.13,0.155912546,0.059470308,0.052333871,11.5
199,0.11,1.15,0.13,0.157569958,0.059375829,0.052250729,13.1
200,0.1,1.14,0.13,0.158620013,0.059380505,0.052254844,14.7
200,0.1,1.14,0.13,0.154791063,0.057531537,0.050627752,16.3
200,0.1,1.14,0.13,0.152323472,0.057102805,0.050250468,17.8
200,0.09,1.14,0.13,0.149332205,0.055902327,0.049194048,19.3
200,0.09,1.14,0.13,0.150583807,0.056344008,0.049582727,20.7
200,0.08,1.14,0.13,0.148556619,0.056109382,0.049376256,22.1
200,0.08,1.13,0.13,0.148479272,0.056410618,0.049641344,23.3
200,0.08,1.13,0.13,0.15520769,0.059381171,0.052255431,24.6
200,0.08,1.13,0.13,0.159723867,0.062427544,0.054936239,25.8
200,0.07,1.13,0.13,0.164647758,0.066726331,0.058719171,27
200,0.07,1.13,0.13,0.168413641,0.069105241,0.060812612,28.2
200,0.07,1.13,0.13,0.174419417,0.072447648,0.06375393,29.3
200,0.07,1.13,0.13,0.175561666,0.07464602,0.065688498,30.4
200,0.07,1.13,0.13,0.169262126,0.074956511,0.065961729,31.5
200,0.06,1.13,0.13,0.170685846,0.078063686,0.068696044,32.5
200,0.06,1.13,0.13,0.167247361,0.076556879,0.067370053,33.6
200,0.06,1.13,0.13,0.167850031,0.079314463,0.069796728,34.5
200,0.06,1.13,0.13,0.167551462,0.082724495,0.072797555,35.5
200,0.06,1.13,0.13,0.167551462,0.082724495,0.072797555,36.5
200,0.06,1.13,0.13,0.167551462,0.082724495,0.072797555,37.4
200,0.06,1.13,0.13,0.167551462,0.082724495,0.072797555,38.3
200,0.05,1.13,0.13,0.167551462,0.082724495,0.072797555,39.1
200,0.05,1.13,0.13,0.167551462,0.082724495,0.072797555,40
200,0.05,1.13,0.13,0.167551462,0.082724495,0.072797555,40.8
200,0.05,1.13,0.13,0.167551462,0.082724495,0.072797555,41.6
200,0.05,1.13,0.13,0.167551462,0.082724495,0.072797555,42.4
200,0.05,1.13,0.13,0.167551462,0.082724495,0.072797555,43.2
200,0.05,1.13,0.13,0.167551462,0.082724495,0.072797555,44
200,0.05,1.12,0.13,0.167551462,0.082724495,0.072797555,44.7
200,0.05,1.12,0.13,0.167551462,0.082724495,0.072797555,45.4
200,0.04,1.12,0.13,0.167551462,0.082724495,0.072797555,46.1
200,0.04,1.12,0.13,0.167551462,0.082724495,0.072797555,46.8
200,0.04,1.12,0.13,0.167551462,0.082724495,0.072797555,47.5
200,0.04,1.12,0.13,0.167551462,0.082724495,0.072797555,48.1
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
200,,1.12,0.13,0.167551462,0.082724495,0.072797555,
