loan_size,borrower_retention,loans_per_borrower,interest_rate,default_rate_7dpd,default_rate_51dpd,default_rate_365dpd,cumulative_ltv_per_original,default_rate_7dpd_seed,default_rate_51dpd_seed,default_rate_365dpd_seed
34,1,1.63,0.16,0.219,0.18,0.158,-3.1,0.228845656,0.195190356,0.17862871
56,0.466,1.24,0.161,0.204,0.165,0.145,-4.1,0.217704494,0.182847962,0.167154839
67,0.365,1.17,0.163,0.198,0.158,0.139,-4.6,0.207065655,0.171110114,0.156201024
78,0.294,1.14,0.164,0.183,0.14,0.123,-4.6,0.196929139,0.159976812,0.145767264
91,0.244,1.14,0.162,0.169,0.123,0.108,-4.1,0.187294948,0.149448057,0.135853559
105,0.209,1.13,0.162,0.158,0.11,0.097,-3.3,0.17816308,0.139523849,0.126459909
121,0.183,1.13,0.163,0.148,0.101,0.089,-2.3,0.169533536,0.130204187,0.117586314
136,0.165,1.13,0.161,0.15,0.101,0.089,-1.3,0.161406315,0.121489072,0.109232775
149,0.152,1.12,0.159,0.148,0.095,0.084,-0.2,0.153781418,0.113378503,0.10139929
161,0.14,1.12,0.158,0.139,0.089,0.078,1,0.146658845,0.105872481,0.094085861
168,0.128,1.12,0.158,0.138,0.083,0.073,2.3,0.134035682,0.098971005,0.087292487
180,0.119,1.12,0.157,0.13,0.076,0.067,3.6,0.128062534,0.088104287,0.07648714
185,0.111,1.12,0.154,0.123,0.072,0.063,4.9,0.124946329,0.084671819,0.072739013
190,0.104,1.11,0.154,0.122,0.069,0.061,6.1,0.122357851,0.082052093,0.069740848
195,0.097,1.11,0.154,0.121,0.068,0.06,7.4,0.118416317,0.079889392,0.067544927
199,0.092,1.11,0.154,0.12,0.061,0.054,8.6,0.116457744,0.075855848,0.063417607
200,0.087,1.11,0.154,0.119,0.057,0.05,9.9,0.112871249,0.072211445,0.059642985
200,0.083,1.11,0.154,0.118,0.061,0.054,11.1,0.109725621,0.068956185,0.056221062
200,0.079,1.11,0.154,0.117,0.061,0.054,12.4,0.107020859,0.066090066,0.053151836
200,0.076,1.1,0.154,0.116,0.061,0.054,13.6,0.104756964,0.06361309,0.050435309
200,0.072,1.1,0.154,0.115,0.061,0.054,14.7,0.102933935,0.061525255,0.04807148
200,0.069,1.1,0.154,0.114,0.061,0.054,15.8,0.101551773,0.059826563,0.046060349
200,0.067,1.1,0.154,0.113,0.061,0.054,16.9,0.100610477,0.058517013,0.044401917
200,0.064,1.1,0.154,0.112,0.061,0.054,18,0.100110048,0.057596605,0.043096182
200,0.062,1.1,0.154,0.112,0.061,0.054,19.1,0.100050486,0.057065338,0.042143146
200,0.06,1.1,0.154,0.112,0.061,0.054,20.1,0.099990923,0.056534072,0.04119011
200,0.058,1.1,0.154,0.112,0.061,0.054,21.1,0.099931361,0.056002806,0.040237073
200,0.056,1.1,0.154,0.112,0.061,0.054,22.1,0.099931361,0.055860682,0.039636735
200,0.054,1.1,0.154,0.112,0.061,0.054,23,0.099931361,0.055860682,0.039389095
200,0.052,1.1,0.154,0.112,0.061,0.054,23.9,0.099931361,0.055860682,0.039389095
200,0.051,1.1,0.154,0.112,0.061,0.054,24.8,0.099931361,0.055860682,0.039389095
200,0.049,1.1,0.154,0.112,0.061,0.054,25.6,0.099931361,0.055860682,0.039389095
200,0.048,1.1,0.154,0.112,0.061,0.054,26.5,0.099931361,0.055860682,0.039389095
200,0.046,1.1,0.154,0.112,0.061,0.054,27.3,0.099931361,0.055860682,0.039389095
200,0.045,1.1,0.154,0.112,0.061,0.054,28,0.099931361,0.055860682,0.039389095
200,0.044,1.1,0.154,0.112,0.061,0.054,28.8,0.099931361,0.055860682,0.039389095
200,0.042,1.1,0.154,0.112,0.061,0.054,29.5,0.099931361,0.055860682,0.039389095
200,0.041,1.1,0.154,0.112,0.061,0.054,30.2,0.099931361,0.055860682,0.039389095
200,0.04,1.1,0.154,0.112,0.061,0.054,30.9,0.099931361,0.055860682,0.039389095
200,0.039,1.1,0.154,0.112,0.061,0.054,31.6,0.099931361,0.055860682,0.039389095
200,0.038,1.1,0.154,0.112,0.061,0.054,32.3,0.099931361,0.055860682,0.039389095
200,0.037,1.1,0.154,0.112,0.061,0.054,32.9,0.099931361,0.055860682,0.039389095
200,0.035,1.1,0.154,0.112,0.061,0.054,33.5,0.099931361,0.055860682,0.039389095
200,0.034,1.1,0.154,0.112,0.061,0.054,34.1,0.099931361,0.055860682,0.039389095
200,0.033,1.1,0.154,0.112,0.061,0.054,34.7,0.099931361,0.055860682,0.039389095
200,0.032,1.1,0.154,0.112,0.061,0.054,35.2,0.099931361,0.055860682,0.039389095
200,0.031,1.1,0.154,0.112,0.061,0.054,35.8,0.099931361,0.055860682,0.039389095
200,0.03,1.1,0.154,0.112,0.061,0.054,36.3,0.099931361,0.055860682,0.039389095
200,0.029,1.1,0.154,0.112,0.061,0.054,36.8,0.099931361,0.055860682,0.039389095
200,0.029,1.1,0.154,0.112,0.061,0.054,37.3,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
200,,1.1,0.154,0.112,0.061,0.054,,0.099931361,0.055860682,0.039389095
