loan_size,borrower_retention,loans_per_borrower,interest_rate,default_rate_7dpd,default_rate_51dpd,default_rate_365dpd,cumulative_ltv_per_original
35,1,1.83,0.191,0.145,0.129,0.126,0.4
51,0.6,1.27,0.191,0.156,0.138,0.135,0.9
60,0.46,1.22,0.194,0.16,0.142,0.139,1.4
65,0.37,1.21,0.195,0.167,0.148,0.145,1.8
61,0.31,1.2,0.195,0.159,0.141,0.138,2.4
73,0.262,1.19,0.194,0.153,0.136,0.133,3.2
87,0.227,1.19,0.193,0.141,0.124,0.122,4.3
93,0.201,1.19,0.192,0.131,0.116,0.114,5.6
98,0.18,1.19,0.191,0.125,0.11,0.108,7.1
110,0.164,1.19,0.191,0.122,0.108,0.106,8.5
122,0.15,1.19,0.19,0.116,0.103,0.101,10
130,0.138,1.19,0.19,0.112,0.099,0.097,11.7
137,0.129,1.19,0.189,0.111,0.098,0.096,13.3
142,0.12,1.19,0.189,0.11,0.097,0.095,14.9
146,0.113,1.19,0.188,0.108,0.096,0.094,16.5
153,0.106,1.19,0.188,0.107,0.095,0.093,18
160,0.1,1.19,0.187,0.106,0.094,0.092,19.5
161,0.095,1.19,0.187,0.105,0.093,0.091,21
161,0.091,1.19,0.186,0.098,0.087,0.085,22.5
164,0.086,1.19,0.186,0.098,0.087,0.085,23.9
166,0.082,1.19,0.185,0.097,0.086,0.084,25.3
168,0.078,1.19,0.185,0.096,0.085,0.083,26.6
168,0.074,1.19,0.184,0.095,0.084,0.082,27.9
169,0.07,1.19,0.184,0.093,0.083,0.081,29.2
169,0.067,1.19,0.184,0.093,0.083,0.081,30.3
169,0.063,1.19,0.184,0.093,0.083,0.081,31.5
170,0.06,1.19,0.184,0.093,0.083,0.081,32.6
170,0.057,1.19,0.184,0.093,0.083,0.081,33.6
170,0.054,1.19,0.184,0.093,0.083,0.081,34.6
170,0.051,1.19,0.184,0.093,0.083,0.081,35.5
170,0.049,1.19,0.184,0.093,0.083,0.081,36.4
170,0.046,1.19,0.184,0.093,0.083,0.081,37.3
170,0.044,1.19,0.184,0.093,0.083,0.081,38.1
170,0.042,1.19,0.184,0.093,0.083,0.081,38.9
170,0.04,1.19,0.184,0.093,0.083,0.081,39.6
170,0.038,1.19,0.184,0.093,0.083,0.081,40.3
170,0.036,1.19,0.184,0.093,0.083,0.081,41
170,0.034,1.19,0.184,0.093,0.083,0.081,41.6
170,0.032,1.19,0.184,0.093,0.083,0.081,42.2
170,0.031,1.19,0.184,0.093,0.083,0.081,42.8
170,0.029,1.19,0.184,0.093,0.083,0.081,43.3
170,0.028,1.19,0.184,0.093,0.083,0.081,43.8
170,0.026,1.19,0.184,0.093,0.083,0.081,44.3
170,0.025,1.19,0.184,0.093,0.083,0.081,44.8
170,0.024,1.19,0.184,0.093,0.083,0.081,45.2
170,0.023,1.19,0.184,0.093,0.083,0.081,45.7
170,0.022,1.19,0.184,0.093,0.083,0.081,46
170,0.02,1.19,0.184,0.093,0.083,0.081,46.4
170,0.019,1.19,0.184,0.093,0.083,0.081,46.8
170,0.018,1.19,0.184,0.093,0.083,0.081,47.1
170,,1.19,0.184,0.093,0.083,0.081,
170,,1.19,0.184,0.093,0.083,0.081,
170,,1.19,0.184,0.093,0.083,0.081,
170,,1.19,0.184,0.093,0.083,0.081,
170,,1.19,0.184,0.093,0.083,0.081,
170,,1.19,0.184,0.093,0.083,0.081,
170,,1.19,0.184,0.093,0.083,0.081,
170,,1.19,0.184,0.093,0.083,0.081,
170,,1.19,0.184,0.093,0.083,0.081,
