loan_size,borrower_retention,loans_per_borrower,interest_rate,default_rate_7dpd,default_rate_51dpd,default_rate_365dpd,cumulative_ltv_per_original,default_rate_7dpd_seed,default_rate_51dpd_seed,default_rate_365dpd_seed
38,1,1.83,0.191,0.145,0.129,0.126,0.4,0.214962189,0.105914707,0.103796412
63.1,0.6,1.27,0.191,0.156,0.138,0.135,0.9,0.204403371,0.110651215,0.10843819
75.4,0.46,1.22,0.194,0.16,0.142,0.139,1.4,0.194200027,0.113721399,0.111446971
85.3,0.37,1.21,0.195,0.167,0.148,0.145,1.8,0.184352157,0.115125259,0.112822754
95.7,0.31,1.2,0.195,0.159,0.141,0.138,2.4,0.174859762,0.114862795,0.112565539
105.8,0.262,1.19,0.194,0.153,0.136,0.133,3.2,0.165722841,0.108578257,0.106406692
113.5,0.227,1.19,0.193,0.141,0.124,0.122,4.3,0.156941395,0.104552553,0.102461502
121.4,0.201,1.19,0.192,0.131,0.116,0.114,5.6,0.148515423,0.102095074,0.100053172
129.1,0.18,1.19,0.191,0.125,0.11,0.108,7.1,0.140444926,0.100579716,0.098568121
136,0.164,1.19,0.191,0.122,0.108,0.106,8.5,0.132729903,0.095022564,0.093122112
145.8,0.15,1.19,0.19,0.116,0.103,0.101,10,0.1209403,0.088969755,0.08719036
154.5,0.138,1.19,0.19,0.112,0.099,0.097,11.7,0.112354509,0.084965087,0.083265785
162.1,0.129,1.19,0.189,0.111,0.098,0.096,13.3,0.106269718,0.082813013,0.081156753
170.7,0.12,1.19,0.189,0.11,0.097,0.095,14.9,0.102075643,0.078271534,0.076706104
177.3,0.113,1.19,0.188,0.108,0.096,0.094,16.5,0.097018257,0.073413613,0.071945341
180.2,0.106,1.19,0.188,0.107,0.095,0.093,18,0.089754445,0.068239249,0.066874464
183.2,0.1,1.19,0.187,0.106,0.094,0.092,19.5,0.084025427,0.062748441,0.061493473
183.8,0.095,1.19,0.187,0.105,0.093,0.091,21,0.080022361,0.059687485,0.058432517
186.6,0.091,1.19,0.186,0.098,0.087,0.085,22.5,0.07764913,0.057539318,0.056284349
185.1,0.086,1.19,0.186,0.098,0.087,0.085,23.9,0.075342827,0.056085672,0.054830703
186.8,0.082,1.19,0.185,0.097,0.086,0.084,25.3,0.07357749,0.05482819,0.053573222
189.4,0.078,1.19,0.185,0.096,0.085,0.083,26.6,0.070241383,0.053654056,0.052399087
189.7,0.074,1.19,0.184,0.095,0.084,0.082,27.9,0.06820542,0.052508668,0.051253699
190.7,0.07,1.19,0.184,0.093,0.083,0.081,29.2,0.066913457,0.05029441,0.049039442
191.7,0.067,1.19,0.184,0.093,0.083,0.081,30.3,0.064468739,0.048182178,0.046927209
192.7,0.063,1.19,0.184,0.093,0.083,0.081,31.5,0.062209629,0.046171972,0.044917003
193.7,0.06,1.19,0.184,0.093,0.083,0.081,32.6,0.060136126,0.04426379,0.043008821
194.7,0.057,1.19,0.184,0.093,0.083,0.081,33.6,0.058248232,0.042457634,0.041202665
195.8,0.054,1.19,0.184,0.093,0.083,0.081,34.6,0.056545945,0.040753503,0.039498534
196.8,0.051,1.19,0.184,0.093,0.083,0.081,35.5,0.055029267,0.039151398,0.037896429
197.8,0.049,1.19,0.184,0.093,0.083,0.081,36.4,0.053698196,0.037651318,0.036396349
198.8,0.046,1.19,0.184,0.093,0.083,0.081,37.3,0.052552734,0.036253263,0.0356
199.8,0.044,1.19,0.184,0.093,0.083,0.081,38.1,0.051592879,0.034957234,0.0356
199.8,0.042,1.19,0.184,0.093,0.083,0.081,38.9,0.050633025,0.033661204,0.0356
199.8,0.04,1.19,0.184,0.093,0.083,0.081,39.6,0.04967317,0.032365175,0.0356
199.8,0.038,1.19,0.184,0.093,0.083,0.081,40.3,0.048898924,0.0317,0.0356
199.8,0.036,1.19,0.184,0.093,0.083,0.081,41,0.048310285,0.0317,0.0356
199.8,0.034,1.19,0.184,0.093,0.083,0.081,41.6,0.047907255,0.0317,0.0356
199.8,0.032,1.19,0.184,0.093,0.083,0.081,42.2,0.047689832,0.0317,0.0356
199.8,0.031,1.19,0.184,0.093,0.083,0.081,42.8,0.047658017,0.0317,0.0356
199.8,0.029,1.19,0.184,0.093,0.083,0.081,43.3,0.047658017,0.0317,0.0356
199.8,0.028,1.19,0.184,0.093,0.083,0.081,43.8,0.047658017,0.0317,0.0356
199.8,0.026,1.19,0.184,0.093,0.083,0.081,44.3,0.047658017,0.0317,0.0356
199.8,0.025,1.19,0.184,0.093,0.083,0.081,44.8,0.047658017,0.0317,0.0356
199.8,0.024,1.19,0.184,0.093,0.083,0.081,45.2,0.047658017,0.0317,0.0356
199.8,0.023,1.19,0.184,0.093,0.083,0.081,45.7,0.047658017,0.0317,0.0356
199.8,0.022,1.19,0.184,0.093,0.083,0.081,46,0.047658017,0.0317,0.0356
199.8,0.02,1.19,0.184,0.093,0.083,0.081,46.4,0.047658017,0.0317,0.0356
199.8,0.019,1.19,0.184,0.093,0.083,0.081,46.8,0.047658017,0.0317,0.0356
199.8,0.018,1.19,0.184,0.093,0.083,0.081,47.1,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
199.8,,1.19,0.184,0.093,0.083,0.081,,0.047658017,0.0317,0.0356
