loan_size,borrower_retention,loans_per_borrower,interest_rate,default_rate_7dpd,default_rate_51dpd,default_rate_365dpd,cumulative_ltv_per_original
40,1,1.62,0.141,0.177,0.156,0.15,-3.8
55,0.557,1.16,0.143,0.134,0.127,0.122,-4.6
65,0.457,1.14,0.143,0.12,0.104,0.1,-4.3
73,0.395,1.14,0.143,0.115,0.089,0.085,-3.5
81,0.348,1.13,0.143,0.095,0.073,0.07,-2.1
88,0.308,1.12,0.143,0.09,0.068,0.065,-0.5
96,0.277,1.12,0.142,0.085,0.063,0.06,1.1
104,0.254,1.12,0.143,0.083,0.06,0.058,2.9
112,0.234,1.12,0.143,0.08,0.057,0.055,4.8
120,0.218,1.12,0.144,0.078,0.055,0.053,6.8
128,0.204,1.12,0.144,0.075,0.052,0.05,8.9
136,0.193,1.12,0.144,0.073,0.05,0.048,11.1
144,0.183,1.12,0.144,0.07,0.047,0.045,13.4
151,0.174,1.12,0.143,0.07,0.047,0.045,15.6
157,0.166,1.12,0.144,0.07,0.047,0.045,17.9
162,0.159,1.12,0.144,0.07,0.047,0.045,20.2
166,0.152,1.12,0.144,0.07,0.047,0.045,22.4
167,0.147,1.12,0.143,0.07,0.047,0.045,24.6
169,0.141,1.12,0.144,0.07,0.047,0.045,26.7
170,0.137,1.12,0.144,0.07,0.047,0.045,28.8
172,0.132,1.12,0.143,0.07,0.047,0.045,30.8
173,0.128,1.12,0.144,0.07,0.047,0.045,32.7
174,0.124,1.12,0.144,0.07,0.047,0.045,34.6
175,0.12,1.12,0.144,0.07,0.047,0.045,36.5
175,0.116,1.12,0.144,0.07,0.047,0.045,38.4
176,0.113,1.12,0.144,0.07,0.047,0.045,40.2
177,0.11,1.12,0.144,0.07,0.047,0.045,42
178,0.106,1.12,0.144,0.07,0.047,0.045,43.7
179,0.103,1.12,0.144,0.07,0.047,0.045,45.4
180,0.1,1.12,0.144,0.07,0.047,0.045,47
181,0.097,1.12,0.144,0.07,0.047,0.045,48.6
182,0.094,1.12,0.144,0.07,0.047,0.045,50.2
183,0.091,1.12,0.144,0.07,0.047,0.045,51.7
183,0.088,1.12,0.144,0.07,0.047,0.045,53.2
184,0.086,1.12,0.144,0.07,0.047,0.045,54.7
185,0.083,1.12,0.144,0.07,0.047,0.045,56.1
186,0.081,1.12,0.144,0.07,0.047,0.045,57.5
187,0.078,1.12,0.144,0.07,0.047,0.045,58.8
188,0.076,1.12,0.144,0.07,0.047,0.045,60.1
189,0.074,1.12,0.144,0.07,0.047,0.045,61.4
190,0.071,1.12,0.144,0.07,0.047,0.045,62.6
191,0.069,1.12,0.144,0.07,0.047,0.045,63.8
191,0.067,1.12,0.144,0.07,0.047,0.045,65
192,0.065,1.12,0.144,0.07,0.047,0.045,66.2
193,0.063,1.12,0.144,0.07,0.047,0.045,67.3
194,0.061,1.12,0.144,0.07,0.047,0.045,68.4
195,0.06,1.12,0.144,0.07,0.047,0.045,69.5
196,0.058,1.12,0.144,0.07,0.047,0.045,70.5
197,0.056,1.12,0.144,0.07,0.047,0.045,71.5
198,0.054,1.12,0.144,0.07,0.047,0.045,72.5
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
198,,1.12,0.144,0.07,0.047,0.045,
